event_type,value,t_ms
HealthChange,-5,2000
HealthChange,-8,4500
HealthChange,20,6000
HealthChange,-12,8500
HealthChange,-6,11000
HealthChange,30,13000
HealthChange,-15,16000
HealthChange,-10,18500
HealthChange,25,20000
HealthChange,-20,23000
HealthChange,-8,25500
HealthChange,40,27000
HealthChange,-5,30000
AmmoUsed,1,2100
AmmoUsed,1,2500
AmmoUsed,1,3200
AmmoUsed,1,4800
AmmoUsed,1,5200
AmmoUsed,1,8700
AmmoUsed,1,9100
AmmoUsed,1,11500
AmmoUsed,1,12000
AmmoUsed,1,16200
AmmoUsed,1,16800
AmmoUsed,1,18700
AmmoUsed,1,19200
AmmoUsed,1,23200
AmmoUsed,1,23800
AmmoUsed,1,25800
AmmoUsed,1,30200
